idAffaire,PrixVenteCollaborateur
34544,7258.26
40181,2190.0
41193,3368.75
41211,1617.5
41457,2298.75
41473,6200.0
41516,897.5
41563,1225.0
41579,647.5
41588,752.5
41647,4423.75
41668,262.5
41683,495.0
41725,1887.5
41736,515.0
41737,290.0
41744,973.75
41783,590.0
41813,877.5
41833,695.0
41836,3187.5
41847,437.5
41851,450.0
41853,617.5
41854,225.0
41856,852.5
41858,1212.5
41866,565.0
41869,3495.0
41876,980.0
41901,1740.0
41911,332.5
41912,420.0
41918,490.0
41919,507.5
41935,917.5
41943,225.0
41949,192.5
41953,131.25
41959,150.0
41961,75.0
41962,157.5
41964,337.5
41970,365.0
41981,95.0
